identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode
-1.36944E+18,user,France,fr,31,8,0,1,1,0,0,1,F,2,mrs,TRUE,FALSE,TRUE,FALSE,127,3205,106.83,8.9,fr
-6.58909E+18,user,Etats-Unis,en,3,9,1,0,0,0,14,1,M,1,mr,FALSE,FALSE,FALSE,TRUE,26,3205,106.83,8.9,us
-9.37289E+17,user,Suède,en,5,8,0,0,0,0,107,1,M,1,mr,FALSE,FALSE,FALSE,TRUE,543,3205,106.83,8.9,se
7.14419E+18,user,Canada,en,4,10,1,0,0,0,7,1,F,2,mrs,TRUE,TRUE,FALSE,TRUE,208,3205,106.83,8.9,ca
4.99427E+18,user,Royaume-Uni,en,3,8,0,0,0,0,0,2,F,2,mrs,FALSE,FALSE,FALSE,TRUE,27,3205,106.83,8.9,gb
4.90705E+18,user,Etats-Unis,en,28,29,0,0,0,0,4,6,M,1,mr,TRUE,FALSE,TRUE,FALSE,15,3205,106.83,8.9,us
2.88873E+16,user,Allemagne,de,5,8,3,0,0,0,0,5,F,2,mrs,TRUE,FALSE,TRUE,TRUE,338,3205,106.83,8.9,de
-6.44512E+18,user,Japon,en,3,8,12,0,0,0,1,1,M,1,mr,FALSE,FALSE,FALSE,TRUE,29,3205,106.83,8.9,jp
-2.21732E+18,user,Danemark,en,7,8,0,0,0,0,0,2,M,1,mr,TRUE,TRUE,FALSE,TRUE,50,3205,106.83,8.9,dk
-3.35657E+18,user,Etats-Unis,en,4,9,0,0,0,0,143,5,M,1,mr,FALSE,FALSE,FALSE,TRUE,151,3205,106.83,8.9,us
8.45308E+17,user,Royaume-Uni,en,3,8,1,0,0,0,0,1,M,1,mr,TRUE,FALSE,TRUE,TRUE,180,3205,106.83,8.9,gb
2.70321E+18,user,Etats-Unis,en,4,8,0,0,0,0,0,1,F,2,mrs,TRUE,FALSE,TRUE,TRUE,106,3205,106.83,8.9,us
-4.81391E+18,user,Etats-Unis,en,3,8,1,0,0,0,0,1,F,2,mrs,FALSE,FALSE,FALSE,TRUE,142,3205,106.83,8.9,us
8.87672E+18,user,Royaume-Uni,en,16,0,6,0,1,0,303,32,M,1,mr,TRUE,TRUE,FALSE,FALSE,20,3205,106.83,8.9,gb
